                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25747,                 2.8446,                 1.0013,                0.10698,                 0.8469,                0.12387,                0.12246,                0.30432,                 3.4356,                0.67997,             0.00020644,             0.00020644,             0.00020644
                      2,                0.14036,                 2.0702,                0.91382,                0.10008,                0.72873,                0.14614,                0.14545,                0.24762,                 2.1413,                0.63567,             0.00040109,             0.00040109,             0.00040109
                      3,                0.14119,                 1.9877,                0.91145,                0.11649,                0.67519,                0.15471,                0.14404,                0.31116,                 2.1555,                0.65693,             0.00058198,             0.00058198,             0.00058198
                      4,                0.13988,                 1.9214,                0.90715,                0.08177,                0.89002,                0.13528,                0.12378,                0.24173,                  2.035,                0.59896,             0.00056313,             0.00056313,             0.00056313
                      5,                0.12497,                 1.8902,                0.90481,                0.16314,                 0.8192,                0.15509,                 0.1543,                0.22006,                 1.9531,                0.59618,              0.0005425,              0.0005425,              0.0005425
                      6,                0.11012,                 1.8628,                 0.8917,                0.08315,                      1,                 0.1512,                0.15099,                 0.1634,                 1.8832,                 0.5283,             0.00052188,             0.00052188,             0.00052188
                      7,                0.10416,                  1.846,                0.89786,                0.08701,                  0.761,                0.16501,                0.16379,                0.13395,                  1.849,                  0.499,             0.00050125,             0.00050125,             0.00050125
                      8,                0.10159,                 1.8389,                0.89444,                0.09326,                 0.7116,                 0.1701,                0.16941,                0.15922,                 1.8683,                 0.5283,             0.00048062,             0.00048062,             0.00048062
                      9,                0.09502,                 1.8292,                 0.8883,                0.18645,                0.61651,                0.15865,                0.15636,                0.13529,                  1.831,                0.48938,                0.00046,                0.00046,                0.00046
                     10,                 0.0858,                 1.8146,                0.88861,                 0.1104,                0.62735,                0.17557,                0.17526,                0.12291,                 1.8207,                0.48351,             0.00043937,             0.00043937,             0.00043937
                     11,                0.08606,                 1.8201,                0.88912,                0.09634,                0.78128,                0.16742,                0.16737,                0.14417,                 1.8016,                 0.5236,             0.00041875,             0.00041875,             0.00041875
                     12,                 0.0852,                  1.791,                0.89476,                0.14263,                0.69766,                0.17332,                0.17326,                0.14033,                 1.7787,                0.50557,             0.00039813,             0.00039813,             0.00039813
                     13,                0.07526,                 1.7975,                0.88705,                0.14576,                0.54812,                0.19015,                0.18938,                0.15496,                 1.8047,                0.52367,              0.0003775,              0.0003775,              0.0003775
                     14,                0.07426,                 1.7738,                0.88612,                0.24766,                0.57373,                0.18253,                0.18244,                0.14918,                 1.7653,                0.51095,             0.00035687,             0.00035687,             0.00035687
                     15,                0.07223,                 1.7649,                0.89418,                0.18367,                0.62101,                0.18902,                0.18878,                0.12193,                 1.7686,                0.49576,             0.00033625,             0.00033625,             0.00033625
                     16,                0.07079,                  1.759,                0.88642,                0.11918,                 0.7265,                0.18078,                0.17947,                0.11899,                 1.7847,                0.48376,             0.00031562,             0.00031562,             0.00031562
                     17,                0.06437,                 1.7528,                0.87799,                0.25617,                0.47317,                0.19292,                0.19292,                0.12704,                 1.7896,                 0.4918,               0.000295,               0.000295,               0.000295
                     18,                0.06461,                 1.7518,                0.87637,                0.21381,                 0.6013,                 0.1975,                 0.1975,                0.10945,                 1.7477,                0.47425,             0.00027437,             0.00027437,             0.00027437
                     19,                 0.0593,                 1.7295,                 0.8806,                0.22633,                0.50741,                0.19565,                0.19565,                0.09783,                 1.7441,                0.45837,             0.00025375,             0.00025375,             0.00025375
                     20,                0.05856,                 1.7333,                0.88562,                0.21965,                0.47087,                0.19951,                0.19951,                0.08869,                 1.7396,                0.45391,             0.00023313,             0.00023313,             0.00023313
                     21,                 0.0604,                 1.7282,                0.88986,                0.16158,                0.44972,                0.19946,                0.19946,                0.10171,                 1.7479,                0.45994,              0.0002125,              0.0002125,              0.0002125
                     22,                0.05435,                 1.6942,                 0.8772,                  0.203,                0.52973,                0.19195,                0.19195,                0.11172,                 1.8144,                0.47223,             0.00019188,             0.00019188,             0.00019188
                     23,                0.04932,                 1.6904,                0.86818,                0.20976,                0.47301,                0.19121,                0.19119,                0.12126,                 1.7534,                0.47999,             0.00017125,             0.00017125,             0.00017125
                     24,                0.04527,                 1.6789,                0.88005,                0.22035,                0.44092,                0.19203,                0.19184,                0.10837,                 1.7684,                0.47311,             0.00015062,             0.00015062,             0.00015062
                     25,                0.04241,                 1.6747,                0.87513,                0.14655,                0.46943,                0.20395,                0.20395,                0.10422,                 1.7272,                 0.4638,                0.00013,                0.00013,                0.00013
                     26,                0.03908,                 1.6533,                0.87942,                0.24302,                 0.4468,                 0.2014,                0.20138,                0.10306,                 1.7383,                0.46235,             0.00010937,             0.00010937,             0.00010937
                     27,                0.03775,                 1.6285,                0.86436,                0.23104,                0.42038,                0.19289,                0.19289,                0.10645,                 1.7444,                0.46828,              8.875e-05,              8.875e-05,              8.875e-05
                     28,                0.03547,                 1.6353,                0.88097,                0.14159,                0.46411,                0.21092,                0.21092,                0.08373,                 1.7321,                0.44005,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     29,                0.03384,                 1.6345,                0.86648,                0.13511,                0.43564,                0.20342,                0.20342,                0.08499,                 1.7235,                0.44408,               4.75e-05,               4.75e-05,               4.75e-05
                     30,                0.03015,                 1.5982,                0.87219,                0.23391,                0.45776,                0.20711,                0.20711,                0.08612,                 1.7233,                0.45001,             2.6875e-05,             2.6875e-05,             2.6875e-05
