                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34874,                 3.2679,                 1.0659,                0.03648,                0.87844,                0.04587,                0.04583,                0.28741,                 66.235,                0.73355,             0.00021822,             0.00021822,             0.00021822
                      2,                0.16121,                 2.1935,                0.93694,                 0.1233,                0.87987,                0.17705,                0.17559,                0.30795,                 2.7723,                0.70351,             0.00042601,             0.00042601,             0.00042601
                      3,                0.17007,                 2.0324,                0.92686,                0.09247,                0.82808,                0.16618,                0.16426,                0.26321,                 2.2439,                0.65786,             0.00061913,             0.00061913,             0.00061913
                      4,                0.16259,                 1.9586,                0.92322,                0.18191,                0.61721,                0.16727,                0.16491,                0.20792,                 2.0873,                0.58543,             0.00060097,             0.00060097,             0.00060097
                      5,                 0.1449,                 1.9411,                0.91433,                 0.0885,                0.83295,                0.18142,                0.17596,                0.24485,                 2.2305,                0.60011,             0.00057896,             0.00057896,             0.00057896
                      6,                0.13783,                 1.8713,                0.90528,                0.08508,                0.58123,                0.14534,                0.14525,                0.18915,                 2.0816,                0.55929,             0.00055694,             0.00055694,             0.00055694
                      7,                0.12971,                 1.8521,                0.89691,                0.09743,                0.90799,                0.20369,                0.20296,                0.24555,                 1.9992,                0.64279,             0.00053493,             0.00053493,             0.00053493
                      8,                0.11718,                 1.8422,                0.90635,                0.09229,                0.87325,                0.19204,                0.19204,                0.16166,                 1.9633,                0.54239,             0.00051292,             0.00051292,             0.00051292
                      9,                 0.1095,                 1.8177,                0.89158,                0.08914,                0.88864,                0.17851,                0.17851,                0.13387,                  1.894,                0.48371,             0.00049091,             0.00049091,             0.00049091
                     10,                0.11398,                 1.8086,                0.89161,                0.09008,                0.93182,                0.19004,                0.18796,                 0.1549,                 1.8556,                0.52666,              0.0004689,              0.0004689,              0.0004689
                     11,                0.10549,                 1.7956,                0.89299,                0.10117,                0.57214,                0.20986,                0.20986,                0.13806,                 1.7874,                0.49553,             0.00044689,             0.00044689,             0.00044689
                     12,                0.10716,                 1.7737,                 0.8966,                0.10201,                0.66169,                0.17569,                0.17557,                0.14696,                 1.8082,                0.51255,             0.00042488,             0.00042488,             0.00042488
                     13,                0.09299,                 1.7838,                0.89978,                0.19708,                 0.5707,                0.20512,                0.20512,                0.14191,                 1.7971,                 0.4948,             0.00040287,             0.00040287,             0.00040287
                     14,                0.08905,                 1.7637,                0.88514,                0.10624,                0.80536,                 0.2066,                0.20279,                0.18157,                 1.8502,                0.54921,             0.00038086,             0.00038086,             0.00038086
                     15,                0.08819,                  1.756,                0.88223,                0.22393,                0.51308,                0.23992,                0.23992,                0.12698,                 1.7813,                0.48589,             0.00035885,             0.00035885,             0.00035885
                     16,                0.09216,                 1.7435,                0.88751,                0.18333,                0.51557,                0.19691,                0.19597,                0.13802,                  1.783,                0.48542,             0.00033683,             0.00033683,             0.00033683
                     17,                0.08827,                 1.7339,                0.89393,                0.13533,                0.72976,                0.22427,                0.22332,                0.13061,                 1.7615,                0.49383,             0.00031482,             0.00031482,             0.00031482
                     18,                0.08208,                 1.7012,                0.89405,                0.10785,                0.77557,                0.20006,                0.20006,                0.13063,                 1.7617,                 0.4942,             0.00029281,             0.00029281,             0.00029281
                     19,                0.07618,                 1.7151,                 0.8908,                0.09434,                0.99619,                0.17473,                0.17473,                0.10874,                  1.825,                0.46578,              0.0002708,              0.0002708,              0.0002708
                     20,                 0.0711,                  1.672,                0.88743,                0.11691,                0.80828,                0.22805,                0.22799,                0.11112,                 1.7518,                0.46689,             0.00024879,             0.00024879,             0.00024879
                     21,                0.08092,                 1.7412,                0.90427,                0.10187,                0.73539,                0.21532,                0.21506,                0.11406,                 1.7962,                0.46199,             0.00022678,             0.00022678,             0.00022678
                     22,                0.07114,                 1.6637,                0.89524,                0.11473,                0.52949,                0.24685,                0.24685,                  0.105,                 1.7721,                 0.4568,             0.00020477,             0.00020477,             0.00020477
                     23,                0.06536,                 1.6457,                0.88745,                0.12967,                0.45374,                0.23274,                0.22387,                0.13438,                 1.7327,                0.48437,             0.00018276,             0.00018276,             0.00018276
                     24,                 0.0588,                 1.6254,                0.88877,                0.12204,                  0.534,                0.22203,                0.22203,                0.11844,                 1.7546,                0.46976,             0.00016075,             0.00016075,             0.00016075
                     25,                0.05518,                 1.6085,                0.88231,                0.13328,                 0.4744,                0.23108,                0.23108,                0.09933,                 1.7618,                0.44641,             0.00013874,             0.00013874,             0.00013874
                     26,                0.05089,                  1.591,                0.87758,                0.11532,                 0.5253,                0.22486,                0.22486,                0.10421,                 1.7911,                0.45854,             0.00011672,             0.00011672,             0.00011672
                     27,                 0.0477,                 1.5762,                0.87507,                0.11795,                0.58712,                0.21391,                0.21391,                0.09995,                 1.7771,                 0.4547,             9.4714e-05,             9.4714e-05,             9.4714e-05
                     28,                0.04908,                 1.5354,                0.87125,                0.11975,                0.57908,                0.23787,                0.23787,                0.11122,                 1.7773,                0.47648,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     29,                0.04271,                 1.5368,                 0.8924,                0.14245,                0.50705,                0.21922,                0.21922,                 0.1008,                 1.7516,                0.45751,             5.0692e-05,             5.0692e-05,             5.0692e-05
                     30,                0.04154,                 1.5156,                0.87376,                0.13545,                0.47375,                0.21723,                0.21723,                0.09892,                  1.767,                0.45796,             2.8681e-05,             2.8681e-05,             2.8681e-05
